City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arauco,-37.2463,-73.3175,287.47,86,49,1.89,CL,1713216124
1,suez,29.9737,32.5263,293.23,58,0,4.06,EG,1713216141
2,hard bargain,26.3167,-77.5667,295.83,64,0,5.84,BS,1713216143
3,new norfolk,-42.7826,147.0587,284.1,84,72,0.98,AU,1713216144
4,whitehorse,60.7161,-135.0538,277.09,34,20,2.57,CA,1713216145
5,albany,42.6001,-73.9662,290.13,48,12,2.24,US,1713215926
6,isafjordur,66.0755,-23.124,269.65,89,98,3.77,IS,1713216019
7,grytviken,-54.2811,-36.5092,273.91,81,16,8.3,GS,1713216149
8,ushuaia,-54.8,-68.3,289.96,55,20,4.63,AR,1713215884
9,aasiaat,68.7098,-52.8699,261.34,83,34,2.72,GL,1713216152
10,edinburgh of the seven seas,-37.0676,-12.3116,288.5,64,16,6.1,SH,1713216153
11,dunedin,-45.8742,170.5036,285.26,81,83,3.08,NZ,1713216155
12,tazacorte,28.629,-17.9293,293.69,94,5,4.63,ES,1713216156
13,nova sintra,14.8667,-24.7167,296.0,87,0,7.2,CV,1713216157
14,blackmans bay,-43.0167,147.3167,283.44,84,82,1.49,AU,1713216159
15,margate,51.3813,1.3862,281.98,63,100,5.81,GB,1713215952
16,invercargill,-46.4,168.35,283.72,95,100,3.58,NZ,1713216161
17,waitangi,-43.9535,-176.5597,284.72,78,100,1.34,NZ,1713215885
18,leava,-14.3,-178.1667,302.11,79,100,8.72,WF,1713216164
19,port lincoln,-34.7333,135.8667,287.52,80,2,3.32,AU,1713216165
20,camacupa,-12.0167,17.4833,290.67,94,44,1.12,AO,1713216166
21,tura,25.5198,90.2201,301.46,33,100,2.76,IN,1713215880
22,saipan,15.1355,145.701,299.54,83,0,2.06,MP,1713216000
23,sao paulo de olivenca,-3.3783,-68.8725,302.46,81,92,1.67,BR,1713216170
24,bredasdorp,-34.5322,20.0403,290.35,96,62,3.68,ZA,1713216172
25,adamstown,-25.066,-130.1015,295.49,68,65,6.68,PN,1713216173
26,weno,7.4515,151.8468,301.12,83,100,2.06,FM,1713216174
27,ulladulla,-35.35,150.4667,288.54,89,52,0.92,AU,1713216175
28,thompson,55.7435,-97.8558,281.28,62,23,2.21,CA,1713215858
29,nanyuki,0.0167,37.0728,288.86,88,100,3.68,KE,1713216179
30,antsiranana,-12.2787,49.2917,299.45,82,100,6.53,MG,1713216181
31,brooks,50.5834,-111.8851,288.94,35,97,4.63,CA,1713216169
32,malmslatt,58.411,15.5165,277.18,74,0,1.54,SE,1713216184
33,puerto natales,-51.7236,-72.4875,285.4,76,0,1.03,CL,1713215775
34,yellowknife,62.456,-114.3525,274.02,55,42,4.47,CA,1713215924
35,prince rupert,54.3161,-130.3201,280.98,72,0,3.6,CA,1713216187
36,narasapur,16.45,81.6667,300.22,80,1,1.86,IN,1713216189
37,chos malal,-37.3781,-70.2709,290.62,37,93,10.44,AR,1713216190
38,labuan,5.2767,115.2417,298.35,94,40,1.54,MY,1713216191
39,nacala,-14.5428,40.6728,297.6,74,100,4.13,MZ,1713216193
40,cadale,2.7603,46.3222,302.74,80,83,6.5,SO,1713216194
41,mata-utu,-13.2816,-176.1745,302.26,79,99,6.95,WF,1713216196
42,college,64.8569,-147.8028,276.53,48,40,2.57,US,1713216197
43,belek,36.8628,31.0556,292.03,57,0,2.85,TR,1713216198
44,kuta,-8.7233,115.1723,301.12,94,20,3.13,ID,1713216200
45,talnakh,69.4865,88.3972,251.82,100,98,1.96,RU,1713216201
46,port elizabeth,-33.918,25.5701,294.32,92,75,3.6,ZA,1713216203
47,wailua homesteads,22.0669,-159.378,298.39,67,75,3.09,US,1713216204
48,port-aux-francais,-49.35,70.2167,278.15,75,73,17.06,TF,1713216205
49,hawaiian paradise park,19.5933,-154.9731,300.22,84,75,3.09,US,1713216207
50,acapulco de juarez,16.8634,-99.8901,301.05,78,100,5.66,MX,1713215950
51,iqaluit,63.7506,-68.5145,270.0,58,40,6.17,CA,1713216209
52,ribeira grande,38.5167,-28.7,290.37,94,75,7.15,PT,1713216210
53,sinop,41.7711,34.8709,287.39,59,0,4.77,TR,1713216212
54,kununurra,-15.7667,128.7333,295.14,73,14,0.0,AU,1713216213
55,buchanan,5.8808,-10.0467,301.54,83,21,3.76,LR,1713216214
56,sabang,5.8933,95.3214,302.16,75,15,0.64,ID,1713216215
57,prince george,53.9166,-122.753,279.42,51,100,3.61,CA,1713216192
58,pizarro,4.9533,-77.366,301.02,87,100,3.39,CO,1713216218
59,bel ombre,-4.6167,55.4167,301.06,83,40,1.03,SC,1713216220
60,afaahiti,-17.75,-149.2833,301.08,84,100,8.07,PF,1713216195
61,hami,42.8,93.45,289.15,14,6,2.96,CN,1713216222
62,vadso,70.0744,29.7487,272.64,74,75,8.75,NO,1713216223
63,hamilton,39.1834,-84.5333,303.58,41,40,4.12,US,1713216225
64,aykhal,66.0,111.5,268.05,100,100,2.63,RU,1713216226
65,gorontalo,0.5412,123.0595,295.6,90,61,1.6,ID,1713216227
66,margaret river,-33.95,115.0667,286.19,88,1,3.37,AU,1713216228
67,vila do maio,15.1333,-23.2167,302.59,82,0,3.73,CV,1713216230
68,dudinka,69.4058,86.1778,247.5,100,95,1.98,RU,1713216232
69,nouadhibou,20.931,-17.0347,300.14,34,0,5.14,MR,1713216234
70,cruzeiro do sul,-29.5128,-51.9853,299.54,87,100,1.73,BR,1713216235
71,papao,-17.75,-149.55,301.97,84,100,9.04,PF,1713216236
72,lebu,-37.6167,-73.65,289.4,74,8,5.38,CL,1713215785
73,vorgashor,67.5833,63.95,268.6,96,100,7.28,RU,1713216239
74,noumea,-22.2763,166.4572,299.26,99,90,6.03,NC,1713216240
75,tiksi,71.6872,128.8694,267.54,88,100,3.94,RU,1713215908
76,udachny,66.4167,112.4,264.51,96,98,2.42,RU,1713215915
77,santa elena de uairen,4.6167,-61.1333,302.77,39,100,1.69,VE,1713216244
78,hell-ville,-13.4,48.2667,301.23,77,100,0.88,MG,1713216246
79,isla vista,34.4133,-119.861,295.88,66,20,3.09,US,1713216141
80,utrik,11.2278,169.8474,300.05,82,43,8.42,MH,1713216077
81,isiro,2.7739,27.616,293.57,99,100,0.4,CD,1713216250
82,qaqortoq,60.7167,-46.0333,274.24,99,100,2.1,GL,1713216251
83,luanda,-8.8368,13.2343,300.15,90,75,4.12,AO,1713216253
84,port alfred,-33.5906,26.891,292.69,97,67,0.45,ZA,1713216254
85,jebrail,39.3992,47.0283,284.12,74,15,1.85,AZ,1713216256
86,nemuro,43.3236,145.575,277.1,99,100,5.3,JP,1713216257
87,kirakira,-10.4544,161.9205,301.24,85,100,5.58,SB,1713216258
88,znamenskoye,57.1281,73.8282,270.59,81,4,1.33,RU,1713216260
89,yuzhno-kurilsk,44.0306,145.8556,278.91,89,100,4.06,RU,1713216261
90,bhamo,24.2667,97.2333,296.4,38,15,0.45,MM,1713216262
91,bilibino,68.0546,166.4372,253.88,91,100,1.88,RU,1713216263
92,labrador city,52.9463,-66.9114,275.1,51,75,4.63,CA,1713216265
93,fort morgan,40.2503,-103.8,300.83,12,0,6.17,US,1713216237
94,fort bragg,35.139,-79.006,305.06,28,0,6.17,US,1713216267
95,anadyr,64.75,177.4833,255.43,70,98,7.0,RU,1713216270
96,constantia,44.1833,28.65,291.53,70,69,5.19,RO,1713216271
97,chibougamau,49.9168,-74.3659,276.94,56,100,6.69,CA,1713216242
98,bethel,41.3712,-73.414,295.61,48,52,4.96,US,1713216273
99,richards bay,-28.783,32.0377,293.29,89,93,2.68,ZA,1713216275
100,beaufort west,-32.3567,22.583,290.22,76,78,4.64,ZA,1713216276
101,zhuangyuan,37.2975,120.8256,283.91,45,0,2.04,CN,1713216277
102,san-pedro,4.7485,-6.6363,300.62,88,53,2.4,CI,1713216279
103,ilulissat,69.2167,-51.1,266.16,53,0,0.0,GL,1713216280
104,west island,-12.1568,96.8225,300.14,83,32,4.63,CC,1713216281
105,benidorm,38.5382,-0.131,293.21,66,3,1.85,ES,1713216283
106,hadibu,12.65,54.0333,300.25,76,75,3.59,YE,1713216284
107,corner brook,48.9667,-57.9484,284.24,82,100,4.83,CA,1713216103
108,zaozersk,69.4005,32.4476,269.96,85,100,8.68,RU,1713216287
109,ugoofaaru,5.6667,73.0,302.75,74,100,5.32,MV,1713216080
110,kotabumi,-4.8333,104.9,297.12,94,74,1.11,ID,1713216289
111,lwowek slaski,51.1107,15.5858,286.45,68,82,6.41,PL,1713216291
112,ta`u,-14.2336,-169.5144,302.03,77,100,7.43,AS,1713216292
113,kirensk,57.7853,108.1119,275.35,98,100,3.13,RU,1713216293
114,kapuskasing,49.4169,-82.4331,282.2,34,75,8.75,CA,1713216295
115,happy valley-goose bay,53.3168,-60.3315,281.85,52,39,4.98,CA,1713215916
116,arkhangel'sk,64.5401,40.5433,276.21,100,100,4.0,RU,1713216297
117,salmon arm,50.6998,-119.3024,291.72,38,95,3.6,CA,1713216098
118,hermanus,-34.4187,19.2345,291.37,93,3,4.15,ZA,1713216300
119,hermiston,45.8404,-119.2895,293.05,38,0,8.23,US,1713216294
120,kupang,-10.1667,123.5833,301.47,94,100,2.06,ID,1713216302
121,kaa-khem,51.6833,94.7333,283.38,60,72,1.16,RU,1713216304
122,woolgoolga,-30.1106,153.2007,292.08,85,78,3.35,AU,1713216305
123,iskateley,67.6803,53.1512,273.16,100,100,4.02,RU,1713216306
124,jamestown,42.097,-79.2353,290.11,37,0,5.66,US,1713216054
125,paka,4.6374,103.4368,300.11,89,57,0.0,MY,1713216310
126,holualoa,19.6228,-155.9522,299.57,78,40,10.29,US,1713216312
127,brisas de zicatela,15.8369,-97.0419,306.44,58,40,3.09,MX,1713216313
128,ilovlya,49.3033,43.9796,285.59,73,97,2.98,RU,1713216315
129,coquimbo,-29.9533,-71.3436,291.0,77,20,5.14,CL,1713216316
130,petropavlovsk-kamchatsky,53.0452,158.6483,273.58,94,75,3.0,RU,1713216318
131,arafat,21.3594,39.9664,298.44,36,3,2.58,SA,1713216319
132,hun,29.1268,15.9477,304.14,18,100,9.5,LY,1713216322
133,klyuchi,52.2667,79.1667,275.35,77,9,3.64,RU,1713216323
134,lihue,21.9789,-159.3672,298.73,67,75,3.09,US,1713216248
135,charters towers,-20.1,146.2667,295.6,77,91,4.82,AU,1713216326
136,nagqu,31.5,92.0,272.93,62,97,2.41,CN,1713216327
137,kodiak,57.79,-152.4072,276.88,56,75,2.57,US,1713216328
138,umea,63.8284,20.2597,273.66,86,0,0.0,SE,1713216330
139,badger,64.8,-147.5333,276.48,48,40,2.57,US,1713216332
140,vila franca do campo,37.7167,-25.4333,291.42,99,100,6.29,PT,1713216333
141,opuwo,-18.0607,13.84,297.93,40,59,2.95,NA,1713216082
142,hasaki,35.7333,140.8333,287.37,76,100,5.8,JP,1713216336
143,olonkinbyen,70.9221,-8.7187,270.14,80,95,7.56,SJ,1713216337
144,enewetak,11.3474,162.3373,300.65,79,61,7.39,MH,1713216077
145,fale old settlement,-9.3852,-171.2468,300.2,83,100,3.2,TK,1713216340
146,vilyuchinsk,52.9306,158.4028,274.4,87,100,0.62,RU,1713216341
147,luderitz,-26.6481,15.1594,287.99,75,0,2.68,NA,1713215919
148,geraldton,-28.7667,114.6,292.38,52,0,1.54,AU,1713216344
149,selfoss,63.9331,-20.9971,273.73,55,13,5.5,IS,1713216345
150,laascaanood,8.4774,47.3597,299.26,70,32,9.33,SO,1713216346
151,kerikeri,-35.2268,173.9474,290.32,93,6,1.77,NZ,1713216348
152,bankura,23.25,87.0667,304.12,35,88,1.52,IN,1713216349
153,hammerfest,70.6634,23.6821,273.4,93,75,0.51,NO,1713216350
154,tofol,5.3248,163.0078,301.42,78,52,5.07,FM,1713216352
155,sao gabriel da cachoeira,-0.1303,-67.0892,301.91,79,100,0.5,BR,1713216353
156,sona,45.4388,10.8255,291.06,80,0,1.54,IT,1713216356
157,idanre,7.1127,5.1159,297.24,93,100,0.49,NG,1713216357
158,salida,37.7058,-121.0849,291.92,66,75,5.14,US,1713216359
159,fuyuan,46.4333,127.0833,283.58,87,100,4.96,CN,1713216360
160,hithadhoo,-0.6,73.0833,301.98,77,100,3.04,MV,1713216361
161,el charco,2.4769,-78.1105,299.75,92,100,2.09,CO,1713216363
162,pico truncado,-46.7949,-67.9573,292.95,29,36,7.12,AR,1713216078
163,port douglas,-16.4833,145.4667,299.06,91,100,7.54,AU,1713216365
164,ribeira brava,32.65,-17.0667,296.0,27,25,3.51,PT,1713216367
165,khorugh,37.4897,71.553,273.43,90,100,1.58,TJ,1713216368
166,uliastay,47.7417,96.8444,273.21,58,16,2.99,MN,1713216077
167,georgetown,5.4112,100.3354,301.11,85,20,1.54,MY,1713216195
168,eynesil,41.0645,39.1438,286.91,71,19,2.78,TR,1713216373
169,susuman,62.7833,148.1667,252.03,98,68,0.45,RU,1713216374
170,magadan,59.5667,150.8,262.33,90,99,1.07,RU,1713216375
171,ontario,34.0633,-117.6509,294.09,53,40,3.09,US,1713216155
172,flying fish cove,-10.4217,105.6791,299.97,89,100,4.63,CX,1713216308
173,general conesa,-40.1,-64.4333,289.74,95,100,5.73,AR,1713216379
174,borgarnes,64.5383,-21.9206,274.18,67,27,3.28,IS,1713216381
175,st. john's,47.5649,-52.7093,283.81,67,75,6.69,CA,1713216105
176,port mathurin,-19.6833,63.4167,300.02,77,57,6.86,MU,1713216383
177,naze,28.3667,129.4833,291.66,93,18,1.27,JP,1713216386
178,turbat,26.0023,63.044,298.46,71,94,1.05,PK,1713216387
179,atafu village,-8.5421,-172.5159,302.06,76,100,3.44,TK,1713216378
180,san antonio de pale,-1.4014,5.6325,301.41,83,11,4.61,GQ,1713216390
181,itapirapua,-15.8233,-50.6133,299.96,74,98,2.31,BR,1713216392
182,karasu,41.071,30.7854,290.71,61,5,2.65,TR,1713216393
183,papatowai,-46.5619,169.4708,284.68,91,100,3.93,NZ,1713216396
184,jerantut,3.936,102.3626,297.41,99,100,0.1,MY,1713216399
185,tselinnoye,53.0833,85.6667,274.65,91,39,2.27,RU,1713216400
186,hilo,19.7297,-155.09,301.64,81,75,3.09,US,1713216401
187,tynda,55.1667,124.7167,261.38,98,75,1.56,RU,1713216403
188,kavaratti,10.5669,72.642,302.54,73,100,1.98,IN,1713216405
189,falmouth,50.1544,-5.0711,282.65,71,20,10.8,GB,1713216407
190,shiyan,32.6475,110.7781,296.71,94,100,1.25,CN,1713216409
191,uturoa,-16.7333,-151.4333,300.33,81,90,9.61,PF,1713216410
192,cabo san lucas,22.8909,-109.9124,303.49,57,0,4.02,MX,1713216411
193,maintirano,-18.0667,44.0167,298.95,86,54,2.7,MG,1713216412
194,panaba,21.2833,-88.2667,308.85,26,5,7.85,MX,1713216414
195,waingapu,-9.6567,120.2641,298.78,93,100,4.63,ID,1713216415
196,lompoc,34.6391,-120.4579,296.31,65,0,6.17,US,1713216417
197,mezhdurechenskiy,59.6,65.9333,273.41,76,12,4.09,RU,1713216418
198,amos,48.5669,-78.1162,275.7,78,100,5.21,CA,1713216148
199,qamdo,31.1667,97.2333,274.53,49,72,1.76,CN,1713216421
200,tangzhai,34.4328,116.5911,287.0,46,1,3.49,CN,1713216422
201,la'ie,21.6477,-157.9253,299.29,69,35,5.69,US,1713216136
202,east london,-33.0153,27.9116,294.19,90,88,5.43,ZA,1713216362
203,turpan,42.9333,89.1667,293.32,14,91,0.71,CN,1713216427
204,lodja,-3.4833,23.4333,295.88,88,41,1.14,CD,1713216428
205,grande prairie,55.1667,-118.8027,280.25,31,75,3.6,CA,1713216192
206,revda,56.801,59.9303,276.26,82,39,3.74,RU,1713216431
207,ibarreta,-25.2144,-59.8585,290.13,98,100,1.42,AR,1713216432
208,ialibu,-6.2821,143.9935,287.8,96,33,1.12,PG,1713216433
209,jijona,38.5409,-0.5026,290.46,59,4,0.68,ES,1713216435
210,tsiombe,-25.3,45.4833,294.75,77,30,6.35,MG,1713216437
211,lucapa,-8.4192,20.7447,293.7,94,84,0.93,AO,1713216438
212,stanley,54.868,-1.6985,279.0,77,20,6.69,GB,1713216440
213,taltal,-25.4,-70.4833,292.08,56,0,2.23,CL,1713216441
214,veinticinco de mayo,-35.4323,-60.1727,294.81,97,100,0.45,AR,1713216200
215,beloyarskiy,63.7119,66.6722,270.37,93,100,2.68,RU,1713216443
216,mongo,12.1844,18.693,306.93,12,13,1.88,TD,1713216445
217,serenje,-13.2325,30.2352,289.19,90,59,2.64,ZM,1713216447
218,nikolayevsk-on-amure,53.1406,140.73,278.27,93,100,2.24,RU,1713216448
219,amas,7.0569,124.9839,296.58,85,23,0.95,PH,1713216450
220,wahpeton,46.2652,-96.6059,290.55,29,20,7.2,US,1713216451
221,yulinshi,38.2906,109.7494,283.41,25,90,2.32,CN,1713216452
222,longyearbyen,78.2186,15.6401,258.06,72,75,5.14,SJ,1713216454
223,alamos,27.0167,-108.9333,308.4,5,93,3.24,MX,1713216455
224,providence,41.824,-71.4128,297.22,44,40,6.69,US,1713216456
225,mazar-e sharif,36.709,67.1109,286.98,73,100,2.81,AF,1713216457
226,saint-philippe,-21.3585,55.7679,297.92,87,100,6.43,RE,1713216458
227,khandyga,62.6667,135.6,257.14,94,100,0.93,RU,1713216460
228,avarua,-21.2078,-159.775,301.18,74,75,8.23,CK,1713216461
229,jaragua,-15.7569,-49.3344,298.37,72,100,0.67,BR,1713216463
230,lyantor,61.6195,72.1555,265.54,89,24,4.88,RU,1713216464
231,the pas,53.8251,-101.2541,286.16,28,75,5.66,CA,1713216465
232,harper,4.375,-7.7169,301.6,82,37,3.99,LR,1713216467
233,raja,8.4596,25.678,302.42,13,76,0.76,SS,1713216468
234,vila velha,-20.3297,-40.2925,299.12,85,75,4.12,BR,1713216469
235,panacan,9.2463,118.4082,299.51,82,8,3.16,PH,1713216470
236,sadabad,27.45,78.05,303.04,33,99,3.76,IN,1713216472
237,golfito,8.639,-83.166,303.02,58,46,3.04,CR,1713216473
238,shirpur,21.35,74.8833,307.27,26,66,4.19,IN,1713216474
239,port saint john's,-31.6229,29.5448,294.26,90,99,5.04,ZA,1713216476
240,sandnessjoen,66.0217,12.6316,274.21,69,20,2.06,NO,1713216477
241,cannonvale,-20.2833,148.7,298.81,77,54,8.37,AU,1713216478
242,san pedro de macoris,18.4616,-69.2972,302.49,68,90,2.27,DO,1713216479
243,playa blanca,28.8643,-13.8281,296.21,67,72,3.11,ES,1713216481
244,porto novo,6.4965,2.6036,303.05,79,88,2.64,BJ,1713216485
245,crane,31.3974,-102.3501,306.86,10,99,14.53,US,1713216486
246,qarauyl,48.9451,79.255,281.06,80,100,3.07,KZ,1713216487
247,santa ana,33.7456,-117.8678,295.73,56,40,2.06,US,1713216482
248,araban,37.4267,37.689,289.75,48,0,1.48,TR,1713216490
249,puerto ayora,-0.7393,-90.3518,303.13,93,90,2.24,EC,1713216491
250,nuuk,64.1835,-51.7216,273.49,100,100,1.03,GL,1713216492
251,debre tabor,11.85,38.0167,291.68,26,86,0.41,ET,1713216493
252,aldan,58.6031,125.3894,264.46,97,99,1.42,RU,1713216495
253,enriquillo,17.9,-71.2333,302.97,70,42,4.43,DO,1713216496
254,meadville,41.6414,-80.1515,291.91,32,0,6.17,US,1713216497
255,muroto-misakicho,33.2833,134.15,290.58,91,100,3.86,JP,1713216499
256,menaka,15.9182,2.4022,303.54,11,7,4.64,ML,1713216500
257,yeppoon,-23.1333,150.7333,293.03,72,6,5.93,AU,1713216501
258,asha,54.9973,57.2722,281.08,70,100,3.19,RU,1713216503
259,fortuna,40.5982,-124.1573,288.67,75,75,5.14,US,1713216291
260,alice springs,-23.7,133.8833,281.9,76,24,2.57,AU,1713216505
261,karratha,-20.7377,116.8463,299.32,71,0,4.41,AU,1713216507
262,vizianagaram,18.1167,83.4167,299.43,69,4,1.39,IN,1713216508
263,freetown,8.484,-13.2299,299.76,85,4,3.76,SL,1713216509
264,garla-mare,44.2092,22.775,290.46,42,70,3.22,RO,1713216511
265,gisborne,-38.6533,178.0042,288.33,68,1,3.18,NZ,1713216512
266,sarupathar,26.1984,93.8094,298.06,40,9,1.13,IN,1713216513
267,howrah,22.5892,88.3103,302.15,84,20,2.06,IN,1713216514
268,linden,6.0,-58.3,304.17,52,80,3.56,GY,1713216276
269,ust-nera,64.5667,143.2,256.56,86,92,1.22,RU,1713216517
270,smithers,54.7804,-127.1743,280.33,45,75,5.14,CA,1713216518
271,polyarnyy,69.1989,33.4478,270.18,86,99,9.34,RU,1713216519
272,floro,61.5996,5.0328,278.13,75,100,0.51,NO,1713216521
273,howard springs,-12.497,131.047,298.1,90,98,2.36,AU,1713216522
274,guerrero negro,27.9769,-114.0611,291.8,57,44,10.8,MX,1713216525
275,kankan,10.3854,-9.3057,304.43,11,7,2.49,GN,1713216298
276,illizi,26.4833,8.4667,295.04,26,0,5.25,DZ,1713216527
277,saldanha,-33.0117,17.9442,286.18,86,0,2.81,ZA,1713216528
278,cahors,44.4167,1.3333,282.18,82,44,5.03,FR,1713216530
279,kingston,17.997,-76.7936,303.8,76,75,5.14,JM,1713216412
280,mukalla,14.5425,49.1242,300.84,84,53,4.22,YE,1713216265
281,tazovsky,67.4667,78.7,253.03,95,81,3.28,RU,1713216534
282,mumbwa,-14.9783,27.0619,292.99,73,87,2.74,ZM,1713216535
283,clarksville,36.5298,-87.3595,303.29,45,0,4.63,US,1713216537
